Latitude ,Longitude,Station_No. ,Site_Name,gross_drainage_area_sq.km
52.36000,-126.00583,08FB006,Atnarko Rv. near the mouth,2550
52.43917,-126.35220,08FB011,Bella Coola Rv. above Hammer Creek,NA
49.69278,-125.06917,08HB025,Browns Rv. near courtenay,87.9
48.91556,-124.99778,08NB048,Carnation Creek,10.3
49.81583,-123.15000,08GA043,Cheakamus Rv. near Brackendale,965
48.87833,-123.70444,08HA001,Chemainus Rv. near Westholme,355
48.77306,-123.71444,08HA011,Cowichan Rv. near Duncan,826
49.31583,-124.28500,08HB002,Englishman Rv. near Parksville,319
53.25250,-132.13778,08OA004,Honna Rv. near the mouth,45.3
49.35444,-124.48333,08HB029,Little Qualicum Rv. near Qualicum Beach,237
49.35611,-123.09972,08GA061,MacKay Creek at Montroyal Boulevard,3.63
49.17722,-123.96889,08HB032,Millstone Rv. at Nanaimo,86.2
49.06861,-123.88694,08HB034,Nanaimo Rv. near Cassidy,676
49.41750,-124.65194,08HB022,Nile Creek near Bowser,15
49.89417,-125.24083,08HD011,Oyster Rv. below Woodhus Creek,302
53.25833,-132.07500,08OA003,Premier Creek near Queen Charlotte,NA
50.02917,-125.30000,08HD005,Quinsam Rv. near Campbell Rv.,278
52.42444,-126.52083,08FB004,Salloomt Rv. near Hagensborg,159
50.31222,-125.90750,08HD006,Salmon Rv. near Sayward,1210
48.57611,-124.31110,08HA010 ,San Juan Rv. near Port Renfrew,578
48.89250,-124.96917,08HB014,Sarita Rv. Near Bamfield,162
49.79500,-123.21900,08GA022,Squamish Rv. near Brackendale,2350
49.68972,-123.14639,08GA076,Stawamus Rv. at Hwy No.99,52.8
50.44028,-126.57833,08HF004,Tsitika Rv. Below Catherine Creek,365
53.61389,-132.20972,08OA002,Yakoun Rv. near Port Clements,480
