Latitude,Longitude,Site_Name,Hydrometric_station_No._gauge_ID),gross_drainage_area_sq.km
52.369953,-126.073132,Atnarko Rv.,08FB006,2550
52.432000,-126.388000,Bella Coola Rv. Near Hammer Rd.,08FB011,NA
53.413342,-132.520789,Bonanza Creek,NA,NA
49.693149,-125.080176,Browns Rv.,08HB025,87.9
48.915560,-124.997778,Carnation Creek ,08HB048,10.3
49.799678,-123.157400,Cheakamus Rv.,08GA043,965
48.880006,-123.705091,Chemainus Rv.,08HA001,355
48.773205,-123.714684,Cowichan Rv.,08HA011,826
49.315739,-124.285369,Englishman Rv.,08HB002,319
53.402948,-132.516342,Gregory Creek,NA,NA
53.252719,-132.138094,Honna Rv near the mouth,08OA004,45.3
49.358569,-124.484223,Little Qualicum Rv.,08HB029,237
49.356317,-123.099942,MacKay Creek,08GA061,3.63
49.177575,-123.966905,Millstone Rv.,08HB032,86.2
49.076391,-123.876396,Nanaimo Rv.,08HB034,676
49.419923,-124.642692,Nile Creek,08HB022,15
49.895551,-125.229947,Oyster Rv.,08HD011,302
53.255184,-132.076494,Premier Crk,08OA003,NA
50.026653,-125.296903,Quinsam Rv. ,08HD005,278
52.399600,-126.538100,Salloomt Rv.,08FB004,159
50.320697,-125.922668,Salmon Rv. ,08HD006,1210
48.579860,-124.334774,San Juan Rv.,08HA010 ,578
48.891287,-124.972790,Sarita Rv.,08HB014,162
49.795633,-123.201361,Squamish Rv.,08GA022,2350
53.291838,-132.204372,Stanley Rv. below weir,NA,NA
49.691978,-123.142275,Stawamus Rv.,08GA076,52.8
53.581777,-131.943037,Tlell Rv.,NA,NA
50.404028,-126.565188,Tsitika Rv.,08HF004,NA
53.620639,-132.208736,"Yakoun, near Port Clements",08OA002,480
53.379017,-132.276345,"Yakoun, near QC",NA,NA
